ANI_ID,ANI_title,ANI_desc,ANI_pic
11,Vivy: Fluorite Eye's Song,Vivy: Fluorite Eye's Song,https://www.google.com/imgres?imgurl=https%3A%2F%2Fi.ytimg.com%2Fvi%2FVfgcRwKMhKQ%2Fmaxresdefault.jpg&imgrefurl=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DVfgcRwKMhKQ&tbnid=Ys1HzvyOakyywM&vet=12ahUKEwji78Ha4sDwAhWMADQIHYV2BNcQMygCegUIARCqAQ..i&docid=zIPxCnM1E1Vc6M&w=1280&h=720&itg=1&q=Vivy%3A%20Fluorite%20Eye%27s%20Song&hl=en&ved=2ahUKEwji78Ha4sDwAhWMADQIHYV2BNcQMygCegUIARCqAQ
12,Zombieland Saga: Revenge,Zombie Land Saga,https://www.google.com/search?q=Zombieland+Saga:+Revenge&bih=800&biw=1745&rlz=1C1ONGR_zh-TWCA945CA945&hl=en&sxsrf=ALeKk038QI3Jojl8W7Ibgo8APHRJVjIv2w:1620706598519&tbm=isch&source=iu&ictx=1&fir=OMsS2R-TwRr1mM%252CA0jeRTySpG1E8M%252C%252Fg%252F11fd6dgl0h&vet=1&usg=AI4_-kT8osdvh7vJ9blLLZKQCOd_Dppnwg&sa=X&ved=2ahUKEwiSzdvI4sDwAhXY3J4KHb6RB3UQ_B16BAg0EAE#imgrc=OMsS2R-TwRr1mM
13,3D Kanojo: Real Girl,Real Girl,https://www.google.com/imgres?imgurl=https%3A%2F%2Fm.media-amazon.com%2Fimages%2FM%2FMV5BMjFmMmVkNTYtNWI1OS00Y2E4LTk0NTktYTM2MTI1YWY0ZWZlXkEyXkFqcGdeQXVyNjc3MjQzNTI%40._V1_.jpg&imgrefurl=https%3A%2F%2Fwww.imdb.com%2Ftitle%2Ftt7112156%2F&tbnid=X7KaRleQQQXSYM&vet=12ahUKEwjthbXm4sDwAhV5LDQIHWcMCwkQMygAegUIARCEAQ..i&docid=9YO3Rxf8QDkUAM&w=1127&h=1600&itg=1&q=3D%20Kanojo%3A%20Real%20Girl&hl=en&ved=2ahUKEwjthbXm4sDwAhV5LDQIHWcMCwkQMygAegUIARCEAQ
14,5-toubun no Hanayome,The Quintessential Quintuplets,https://www.google.com/imgres?imgurl=https%3A%2F%2Fstatic.wikia.nocookie.net%2F5toubun-no-hanayome%2Fimages%2F3%2F34%2FAnime_S2_Teaser_Visual.png%2Frevision%2Flatest%3Fcb%3D20200929122634&imgrefurl=https%3A%2F%2F5hanayome.fandom.com%2Fwiki%2F5-toubun_no_Hanayome_%25E2%2588%25AC&tbnid=pf8PZI6HZX5AYM&vet=12ahUKEwiPt77x4sDwAhVrAjQIHa1aDsYQMygDegUIARCGAQ..i&docid=7AJsKd7N3EmDrM&w=1920&h=2686&itg=1&q=5-toubun%20no%20Hanayome&hl=en&ved=2ahUKEwiPt77x4sDwAhVrAjQIHa1aDsYQMygDegUIARCGAQ
15,7 Seeds,7 Seeds,https://www.google.com/imgres?imgurl=https%3A%2F%2Fi.ytimg.com%2Fvi%2FupW-z1CoKPY%2Fmaxresdefault.jpg&imgrefurl=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DupW-z1CoKPY&tbnid=T2O87YVr4QWW4M&vet=12ahUKEwj9kaT34sDwAhVEOH0KHSclA_kQMygEegUIARDTAQ..i&docid=erHqOzAesa4QOM&w=1280&h=720&itg=1&q=7%20Seeds&hl=en&ved=2ahUKEwj9kaT34sDwAhVEOH0KHSclA_kQMygEegUIARDTAQ
16,91 Days,91 Days,https://www.google.com/imgres?imgurl=https%3A%2F%2Fimages-na.ssl-images-amazon.com%2Fimages%2FI%2F91tcKbsKCqL._RI_.jpg&imgrefurl=https%3A%2F%2Fwww.amazon.com%2F91-Days%2Fdp%2FB076XB7PY3&tbnid=iszcK_H9_XRbbM&vet=12ahUKEwj0p_z84sDwAhUxATQIHUJTB-MQMygCegUIARDQAQ..i&docid=WjvFHZBedQF7eM&w=2560&h=1920&itg=1&q=91%20Days&hl=en&ved=2ahUKEwj0p_z84sDwAhUxATQIHUJTB-MQMygCegUIARDQAQ
17,Burn the Witch,Burn the Witch,https://www.google.com/imgres?imgurl=https%3A%2F%2Fbloximages.chicago2.vip.townnews.com%2Futdailybeacon.com%2Fcontent%2Ftncms%2Fassets%2Fv3%2Feditorial%2F8%2F9f%2F89f8add4-f776-11ea-b589-3fd3fd3dc5b5%2F5f60f5e854882.image.jpg%3Fresize%3D1200%252C1001&imgrefurl=https%3A%2F%2Fwww.utdailybeacon.com%2Fcity_news%2Fentertainment%2Fburn-the-witch-manga-chapter-4-review-a-waste-of-time%2Farticle_9f3ccf88-f779-11ea-a4a6-4bceffe87205.html&tbnid=jpygy7pUx1BSUM&vet=12ahUKEwjpzueE48DwAhWqIzQIHQkSDbUQMygAegUIARCfAQ..i&docid=M8ribz5WsKxeXM&w=1200&h=1001&itg=1&q=Burn%20the%20Witch&hl=en&ved=2ahUKEwjpzueE48DwAhWqIzQIHQkSDbUQMygAegUIARCfAQ
18,Clannad: After Story,Clannad: After Story,https://www.google.com/imgres?imgurl=https%3A%2F%2Fsteemitimages.com%2FDQmesummQ93vh3ZoCJ2hcmdgtfFoPMjFpC8Gdqbknd5eD1d%2Fclannad.jpg&imgrefurl=https%3A%2F%2Fsteemit.com%2Fanime%2F%40bangmunthe%2Fclannad-after-story-is-the-best-anime-romance&tbnid=hdwjCB4HvfUEJM&vet=12ahUKEwiRwbaK48DwAhWVIzQIHYO9A2EQMygBegUIARCnAQ..i&docid=0YHO2YJEUWPNfM&w=1024&h=640&itg=1&q=Clannad%3A%20After%20Story&hl=en&ved=2ahUKEwiRwbaK48DwAhWVIzQIHYO9A2EQMygBegUIARCnAQ
19,Death Note,Death Note,https://www.google.com/imgres?imgurl=https%3A%2F%2Fassets1.ignimgs.com%2F2020%2F11%2F06%2Fdeath-note-blogroll-1604643371082.jpg&imgrefurl=https%3A%2F%2Fwww.ign.com%2Farticles%2F2008%2F07%2F18%2Fdeath-note-new-world-review&tbnid=eTTMyAMYZk7RqM&vet=12ahUKEwj0z8mR48DwAhVLJjQIHQMaBi8QMygEegUIARDbAQ..i&docid=-XUONgKy698fLM&w=1280&h=720&itg=1&q=Death%20Note&hl=en&ved=2ahUKEwj0z8mR48DwAhVLJjQIHQMaBi8QMygEegUIARDbAQ
20,Gamers!?,Gamers!?,https://www.google.com/imgres?imgurl=https%3A%2F%2Fnextalerts.com%2Fwp-content%2Fuploads%2F2020%2F08%2F2533725.jpg&imgrefurl=https%3A%2F%2Fnextalerts.com%2F2020%2F11%2F05%2Fgamers-season-2-to-return-next-year-find-out-about-the-release-date-cast-plot-and-more%2F&tbnid=VYxetWUMVKU7kM&vet=12ahUKEwj-1cCa48DwAhXwCTQIHQyoB-0QMygHegUIARDcAQ..i&docid=G6eX-FHo4sM-dM&w=2160&h=1920&itg=1&q=gamers%20anime&hl=en&ved=2ahUKEwj-1cCa48DwAhXwCTQIHQyoB-0QMygHegUIARDcAQ
21,Dororo,Dororo,https://www.google.com/imgres?imgurl=https%3A%2F%2Fi0.wp.com%2Fthepopbreak.com%2Fwp-content%2Fuploads%2F2019%2F07%2F81E-48YQj-L._RI_.jpg%3Fssl%3D1&imgrefurl=https%3A%2F%2Fthepopbreak.com%2F2019%2F08%2F02%2Fanime-review-dororo%2F&tbnid=nSvopDvgkITf6M&vet=12ahUKEwjA7fKi48DwAhVuGTQIHSwTBRcQMygBegUIARDUAQ..i&docid=ASE5HU5MhpHx4M&w=2560&h=1920&q=Dororo&hl=en&ved=2ahUKEwjA7fKi48DwAhVuGTQIHSwTBRcQMygBegUIARDUAQ
22,Dr. Stone,Dr. Stone,https://www.google.com/imgres?imgurl=https%3A%2F%2Fstatic3.cbrimages.com%2Fwordpress%2Fwp-content%2Fuploads%2F2019%2F08%2FDr-Stone-Senku-Medium-Shot-10.jpg&imgrefurl=https%3A%2F%2Fwww.cbr.com%2Fdr-stone-everything-need-know%2F&tbnid=c6SovDf3kVl8tM&vet=12ahUKEwjOrY6t48DwAhWgHjQIHeMlADMQMygGegUIARDXAQ..i&docid=9ux54MLbR_MLJM&w=2560&h=1280&q=Dr.%20Stone&hl=en&ved=2ahUKEwjOrY6t48DwAhWgHjQIHeMlADMQMygGegUIARDXAQ
24,Dragon Ball,Dragon Ball,https://www.google.com/imgres?imgurl=https%3A%2F%2Fimages-na.ssl-images-amazon.com%2Fimages%2FS%2Fsgp-catalog-images%2Fregion_US%2Ftoei-TOEI-DBB_S1-Full-Image_GalleryCover-en-US-1479951130744._UY500_UX667_RI_V4de172d91eed11a414543f2eee34b60e_TTW_.jpg&imgrefurl=https%3A%2F%2Fwww.amazon.com%2FDragon-Ball-Season-1%2Fdp%2FB01JFW8B7W&tbnid=-IwUjpUdw2S7eM&vet=12ahUKEwjfjMC248DwAhW-LDQIHQGYCPQQMygCegUIARDaAQ..i&docid=T5YaEOaqfJDOvM&w=667&h=375&itg=1&q=Dragon%20Ball&hl=en&ved=2ahUKEwjfjMC248DwAhW-LDQIHQGYCPQQMygCegUIARDaAQ
25,Dragon Ball GT,Dragon Ball GT,https://www.google.com/imgres?imgurl=https%3A%2F%2Fstatic0.srcdn.com%2Fwordpress%2Fwp-content%2Fuploads%2F2019%2F02%2FDragon-Ball-GT-Was-Decent.jpg%3Fq%3D50%26fit%3Dcrop%26w%3D960%26h%3D500%26dpr%3D1.5&imgrefurl=https%3A%2F%2Fscreenrant.com%2Fdragon-ball-gt-storylines-never-resolved%2F&tbnid=ewuFlEud3UppSM&vet=12ahUKEwiRuM_B48DwAhUcGTQIHe-QDV0QMygEegUIARDcAQ..i&docid=RjRIZdYJO5PiyM&w=960&h=500&q=Dragon%20Ball%20GT&hl=en&ved=2ahUKEwiRuM_B48DwAhUcGTQIHe-QDV0QMygEegUIARDcAQ
26,Dragon Ball Z,Dragon Ball Z,https://www.google.com/imgres?imgurl=https%3A%2F%2Fstore-images.s-microsoft.com%2Fimage%2Fapps.16517.70698037221387097.3b2c0f5d-eb4e-4cd8-8075-77e281650e1e.894282d4-db9a-4cb5-9849-a1acbd2f6364&imgrefurl=https%3A%2F%2Fwww.microsoft.com%2Fen-ca%2Fp%2Fdragon-ball-z-kakarot%2Fbt5x0xgcwgd6&tbnid=QSUsJDz2VacFUM&vet=12ahUKEwis993H48DwAhWkAzQIHc08C1wQMygGegUIARDkAQ..i&docid=KaCyzpgMvdG_sM&w=1440&h=2160&itg=1&q=Dragon%20Ball%20Z&hl=en&ved=2ahUKEwis993H48DwAhWkAzQIHc08C1wQMygGegUIARDkAQ
27,Fuuka?,Fuuka?,https://www.google.com/imgres?imgurl=https%3A%2F%2Fm.media-amazon.com%2Fimages%2FM%2FMV5BMGQ4Mzk3NjktMmNiNS00ODk5LTg5NjMtYTRhYTkyYzkyN2I1L2ltYWdlXkEyXkFqcGdeQXVyMzgxODM4NjM%40._V1_UY1200_CR85%2C0%2C630%2C1200_AL_.jpg&imgrefurl=https%3A%2F%2Fwww.imdb.com%2Ftitle%2Ftt6422976%2F&tbnid=xZviZbu1RFnZEM&vet=12ahUKEwjJz6PN48DwAhV0LDQIHTN_D_EQMygBegUIARDBAQ..i&docid=AaVXjr9YKH3ADM&w=630&h=1200&itg=1&q=Fuuka%C2%A0&hl=en&ved=2ahUKEwjJz6PN48DwAhV0LDQIHTN_D_EQMygBegUIARDBAQ
28,Gakuen Babysitters,School Babysitter,https://www.google.com/imgres?imgurl=https%3A%2F%2Fcdn.myanimelist.net%2Fimages%2Fanime%2F8%2F89978.jpg&imgrefurl=https%3A%2F%2Fmyanimelist.net%2Fanime%2F35222%2FGakuen_Babysitters&tbnid=8aIWFV-zfmHHZM&vet=12ahUKEwjmiZXc48DwAhUNCTQIHVAWBKcQMygAegUIARC2AQ..i&docid=Gp8gJ-gAT8GceM&w=225&h=321&itg=1&q=Gakuen%20Babysitters&hl=en&ved=2ahUKEwjmiZXc48DwAhUNCTQIHVAWBKcQMygAegUIARC2AQ
29,K-On!,K-On!,https://www.google.com/imgres?imgurl=https%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fen%2F7%2F77%2FK-On%2521_manga_volume_1_cover.jpg&imgrefurl=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FK-On!&tbnid=Wz8plpDaMMzTvM&vet=12ahUKEwjb-77i48DwAhVjKH0KHbeUBKMQMygAegUIARDUAQ..i&docid=_dvbQGP4YWMlAM&w=270&h=369&itg=1&q=K-On!&hl=en&ved=2ahUKEwjb-77i48DwAhVjKH0KHbeUBKMQMygAegUIARDUAQ
30,K-On!!,K-On!!,https://www.google.com/imgres?imgurl=https%3A%2F%2Flh3.googleusercontent.com%2F-uzVQgw11dfY%2FVVoWSQSwNCI%2FAAAAAAAAC_I%2F7KODOa8rj68dOHjxrUA_l9y5WOYiY6iGACCo%2Fs798-Ic42%2FAnime%252BReview%252BK-On%252521.jpg&imgrefurl=https%3A%2F%2Fyurireviews.com%2F2015%2F06%2F03%2Fanime-review-k-on-by-rock-vogt%2F&tbnid=LFT0_CfdIuLclM&vet=12ahUKEwipydHp48DwAhWJCTQIHZWaCCQQMygLegUIARDXAQ..i&docid=Ez_V9tcSUgtC0M&w=798&h=400&q=K-On!!&hl=en&ved=2ahUKEwipydHp48DwAhWJCTQIHZWaCCQQMygLegUIARDXAQ
31,Kakegurui,Kakegurui,https://www.google.com/search?q=Kakegurui&sa=X&bih=800&biw=1745&rlz=1C1ONGR_zh-TWCA945CA945&hl=en&sxsrf=ALeKk02HzclDZNtddGrBRUfBg56slJ5oIg:1620706952435&tbm=isch&source=iu&ictx=1&fir=N_lxF3fUmnWqTM%252CxKTF2fCpr7FfZM%252C%252Fg%252F11f9j8jy8n&vet=1&usg=AI4_-kQsGUspyn8KP8RFeAbwE8-TzLMEfg&ved=2ahUKEwj_8rzx48DwAhXTtp4KHdYBCMoQ_B16BAg0EAE#imgrc=N_lxF3fUmnWqTM
32,Kamisama Hajimemashita,Kamisama Kiss,https://www.google.com/search?q=Kamisama+Hajimemashita&bih=800&biw=1745&rlz=1C1ONGR_zh-TWCA945CA945&hl=en&sxsrf=ALeKk03OZJirzJzLVJRG7ZndqCGeeeSIXg:1620706967392&tbm=isch&source=iu&ictx=1&fir=g8C0JsfT1sIn9M%252C4wNEZ79eWVdAbM%252C_&vet=1&usg=AI4_-kQtKrtbFLKVWiRqtTlq1rTWOAleYg&sa=X&ved=2ahUKEwi5yM3448DwAhWMt54KHYz4AAEQ_h16BAg0EAE#imgrc=g8C0JsfT1sIn9M
33,Mononoke Hime,Princess Mononoke,https://www.google.com/search?q=Mononoke+Hime&bih=800&biw=1745&rlz=1C1ONGR_zh-TWCA945CA945&hl=en&sxsrf=ALeKk032uhLnwZfoWcTK0qFna0aR56uijw:1620706989022&tbm=isch&source=iu&ictx=1&fir=P7kR5qo9NciwqM%252CafSdx2QjwhtTCM%252C_&vet=1&usg=AI4_-kTinZWemAFoYfh9c3_lkug6Kuu4tQ&sa=X&ved=2ahUKEwjr2fWC5MDwAhUSvp4KHc1yDTAQ_h16BAgnEAE#imgrc=P7kR5qo9NciwqM
34,Munou na Nana,Munou na Nana,https://www.google.com/search?q=Munou+na+Nana&bih=800&biw=1745&rlz=1C1ONGR_zh-TWCA945CA945&hl=en&sxsrf=ALeKk00dh4_qaxH4ZRLGSf4vIh8EZRE_WA:1620707003739&tbm=isch&source=iu&ictx=1&fir=8fD8PintZuFDwM%252CWpYr8f7GLhagtM%252C%252Fg%252F11c7srd69t&vet=1&usg=AI4_-kQ20RzrDcFgaAZo3oLKzPn1yZnSkA&sa=X&ved=2ahUKEwjJgfiJ5MDwAhXE7Z4KHf96C4cQ_B16BAgtEAE#imgrc=8fD8PintZuFDwM
35,Plastic Memories?,Plastic Memories?,https://www.google.com/search?q=Plastic+Memories%C2%A0&bih=800&biw=1745&rlz=1C1ONGR_zh-TWCA945CA945&hl=en&sxsrf=ALeKk01sitqmLfP0wYd6EhoZ8fHvzevzNA:1620707030698&tbm=isch&source=iu&ictx=1&fir=pqbx86nnw7A8AM%252ChpVHoOXtqEuNkM%252C%252Fm%252F0120xf0s&vet=1&usg=AI4_-kQc265FgdLXOztEy_CLH1yjw7CJjg&sa=X&ved=2ahUKEwjwz-WW5MDwAhVCqp4KHZUUBqUQ_B16BAguEAE#imgrc=pqbx86nnw7A8AM
